title,abstract,year,date,keywords,author,isbn,volume,pages,pid,type,periodical,related url,notes
Correlation of some mechanical properties of embedding resins with their behaviour in microtomy,"The technology of ultramicrotomy is now well established, but the properties of the resin that determine the different forces needed to generate a section have been neglected, although this process could introduce artefacts in the thin sections. We have investigated the principal resin dependent factors involved in the sectioning process and determined the related mechanical properties. Tensile experiments have given the best correlation with the sectioning quality of the resin: the elastic (Young's) modulus value (depending on polymer structure or hardening mode), the presence of a short plastic flow for a controlled fracture and enough flexibility to minimize shearing, and internal cracks, appear to be the main characteristic parameters. The ultrathin section seems to be generated by a process close to cleavage, favoured by the relative hardness of the embedding media, while machining and “true” sectioning requires softer resins. Consequently, the rupture follows the path of least resistance in the specimen‐resin composite, providing sections with a surface relief. Embedded biological material copolymerizes with polycondensed matrix (epoxy resins), and, by reducing the heterogeneity, gives smoother sections. Embedments hardened by radical polymerization provide a rougher relief, since almost no copolymerization occurs, offering to the microtome a heterogeneous block with two constituents of very different mechanical properties. The surface relief seems to be an important factor in labelling, staining, and imaging, and more attention has to be paid for some improvements of the quality of the information provided by electron microscopy. Copyright © 1987 Wiley‐Liss, Inc.",1987,1987-01-01T00:00:00Z,Plastic flow,"Acetarin, J. D.",07410581 (ISSN),6,63-79,10.1002/jemt.1060060109,Journal Article,Journal of Electron Microscopy Technique,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0023212551&doi=10.1002%2fjemt.1060060109&partnerID=40&md5=20bc6c3c09a5c8ee18ee9c74cbccd0ac,"Cited By :30 Export Date: 25 January 2021 Correspondence Address: Carlemalm, E.; Department of Microbiology, Klingelbergstrasse 70, Basel, CH-4056, Switzerland References: Acetarin, J.‐D., (1981), Nouvelles recherches sur les Résines d'Inclusion pour la Microscopie Électronique. Thesis (Strasbourg‐France); Armbruster, B.L., Carlemalm, E., Chiovetti, R., Garavito, R.M., Hobot, J.A., Kellenberger, E., Villiger, W., Specimen preparation for electron microscopy using low temperature embedding resins (1982) J. Microsc., 126, pp. 77-85; Armbruster, B.L., Garavito, R.M., Kellenberger, E., Dehydration and embedding temperature affect the antigenic specificity of tubulin and immunolabeling by the protein A‐colloidal gold technique (1983) J. Histochem. Cytochem., 31, pp. 1380-1384; Beahan, P., Bevis, M., Hull, D., Fracture processes in polystyrene (1975) Proceedings of the Royal Society A: Mathematical, Physical and Engineering Sciences, 343, pp. 525-535; Bennet, M.S., Schaal, N.J., Quinton, W.E., Reddie, S., Luft, J.H., An analysis of cutting forces in ultramicrotomy (1958) J. Appl. Physiol., 29, pp. 1621-1622; Billmeyer, F.W., (1984) Textbook of Polymer Science, , 3rd Ed., Wiley‐Interscience Publ., New York; Black, J.T., Ultramicrotomy of embedding plastics (1971) Appl. Polymer Symp., 16, pp. 105-125; Brown, W.E., (1969) Testing of Polymers, 4. , WileyInterscience Publ; Bucknall, C.B., The relationship between the structure and mechanical properties of rubber‐modified thermoplastics (Part II) (1967) Br. Plast., 40, pp. 84-86; Causton, B.E., Does the embedding chemistry interact with tissue? In The Science of Biological Specimen Preparation for Microscopy and Microanalysis (1986) Proc. of the 4th Pfefferkorn Conference (1985‐Grand Canyon, pp. 209-214. , M. Müller, R. P. Becker, A. Boyde, J. J. Wolosewick, S. A. Bhatt, Arizona,. Chicago, SEM Inc; Carlemalm, E., Villiger, W., Acetarin, J.‐D., Advances in specimen preparation for electron microscopy. I: Novel low‐temperature embedding resins and a reformulated Vestopal (1980) Experientia, 36, p. 740; Carlemalm, E., Kellenberger, E., The reproducible observation of unstained embedded cellular material in thin sections: Visualization of an integral membrane protein by a new mode of imaging for STEM (1982) Embo J., 1, pp. 63-67; Carlemalm, E., Garavito, R.M., Villiger, W., Resin development for electron microscopy and an analysis of embedding at low temperature (1982) J. Microsc., 126, pp. 123-143; Carlemalm, E., Colliex, C., Garavito, R.M., Villiger, W., Acetarin, J.‐D., Kellenberger, E., Imaging of unstained thin sections from resin embedded biological material using Z‐contrast (1982) Proc. 10th Int. Cong. on Electron Microscopy (Hamburg), 1, pp. 605-606; Carlemalm, E., Acetarin, J.‐D., Villiger, W., Colliex, C., Kellenberger, E., Heavy metal‐containing surroundings provide much more “negative” contrast by Z‐imaging in STEM than with conventional modes (1982) J. Ultrastruct. Res., 80, pp. 339-343; Carlemalm, E., Colliex, C., Kellenberger, E., Contrast formation in electron microscopy of biological materials (1985) Adv. Electronics Electron Phys., 63, pp. 269-334; Cope, G.H., Low temperature embedding in watermiscible methacrylates after treatment with antifreezes (1968) J. R. Microsc. Soc., 88, pp. 235-257; Craig, S., Millard, A., Pea seed storage protein‐immunocytochemical localization with protein Agold by electron microscopy (1981) Protoplasma, 105, pp. 333-339; Danon, D., Kellenberger, E., Un nouveau microtome pour la microscopie electronique (1950) Archives Sci., 3, pp. 169-174; Erlandsen, S.L., Parsons, J.A., Rodning, C.B., Technical parameters of immunostaining of osmicated tissues in epoxy sections (1972) J. Histochem. Cytochem., 27, pp. 1286-1289; Fernandez‐Moran, H., Ein neues Mikrotom mit Diamantmesser (1957) Mikroskopie, 12, pp. 81-88; Fullam, E.F., Gessler, A.E., A high speed microtome for the electron microscope (1946) Rev. Scient. Instrum., 17, pp. 23-35; Fuller, K.N.G., Fox, P.G., Field, J.E., The temperature rise at the top of fast‐moving cracks in glassy polymers (1975) Proceedings of the Royal Society A: Mathematical, Physical and Engineering Sciences, 341, pp. 537-557; Garavito, R.M , Carlemalm, E., Colliex, C., Villiger, W., Septate junction ultrastructure as visualized in unstained and stained preparations (1982) J. Ultrastruct. Res., 80, pp. 344-353; Glauert, A.M., Embedding (1976) Practical Methods in Electron Microscopy, 3 (1), pp. 123-176. , A. M. Glauert, North Holland Publishing Company, Amsterdam; Glauert, A.M., Phillips, R., The preparation of thin sections (1967) Techniques for Electron Microscopy, pp. 213-253. , D. Kay, 2nd Ed., Blackwell Scient. Publ; Glauert, A.M., Rogers, G.E., Glauert, R.H., A new embedding medium for electron microscopy (1956) Nature, 178, p. 803; Harris, B., Moncunill de Ferran, E., Fracture of polyester resin (1969) J. Mater. Sci., 4, pp. 1023-1026; Hayat, M.A., (1981) Principles and Techniques of Electron Microscopy—Biological Applications, 1, pp. 211-300. , 2nd Ed., University Park Press, Baltimore; Jésior, J.C., How to avoid compression: A model study of latex sphere grid sections (1985) J. Ultrastruct. Res., 90, pp. 135-144; Johnson, K.L., The correlation of indentation experiments (1970) J. Mech. Phys. Solids, 18, pp. 125-126; Kambour, R.P., A review of crazing and fracture in thermoplastics (1973) J. Polym. Sci. D., Macromolecular Rev., 7, pp. 1-154; Kambour, R.P., Barker, R.E., Mechanism of fracture in glassy polymers IV: Temperature rise at the tip of propagating crack in poly(methyl methacrylate) (1966) Journal of Polymer Science Part A-2: Polymer Physics, 4, pp. 359-363; Kausch, H.H., Micromechanics of multiphase polymer systems (1977) Angewandte Makromolekulare Chemie, 60-61, pp. 139-155; Kellenberger, E., Schwab, W., Ryter, A., L'utilisation d'un copolymère des polyesters comme matériel d'inclusion en ultramicrotomie (1956) Experientia, 12, pp. 421-422; Kellenberger, E., Carlemalm, E., Villiger, W., Physics of the preparation and observation of specimens that involve cryoprocedures (1986) Proc. of the 4th. Pfefferkorn Conference (1985‐Grand Canyon, pp. 1-23. , M. Müller, R. P. Becker, A. Boyde, J. J. Wolosewick, S. A. Bhatt, Arizona,. Chicago, SEM Inc., AMF O'‐Hare; Kellenberger, E., Carlemalm, E., Villiger, W., Wurtz, M., Mory, C., Colliex, Ch., Z‐contrast in biology (1986) A comparison with other imaging modes, , Ann. N.Y. Acad. Sci; Kellenberger, E., Villiger, W., Carlemalm, E., The influence of the surface relief of thin sections of embedded, unstained biological material on the image quality (1986) Micron Microscopica Acta, 17, pp. 331-348; Kobayashi, A., Machining (1970) Encyclopedia of Polymer Science and Technology, 8, pp. 338-363. , H. F. Mark, N. G. Gaylord, N. M. Bikales, Wiley‐Interscience Publishers, New York; Kobayashi, A., Saito, K., Fracture phenomena in cutting (1964) Fracture Process in Polymeric Solids, pp. 489-527. , B. Rosen, Wiley‐Interscience, New York; Leunissen, J.L.M., Elbers, P.F., Leunissen‐Bijvelt, J.J.M., Verkleij, A.J., An evaluation of the cryosectioning of fixed and cryoprotected rat liver (1984) Ultramicroscopy, 12, pp. 345-352; Lickfeld, K.G., Einige Hinweise auf Feinheiten der elektronenmikroskopischen Dünnschneidetechnik (1983) Laboratoriumsmedizin m.t.a. praxis, 29, pp. 548-558; Lickfeld, K.G., Ein Beitrag zur Frage welche Kräfte und Faktoren Dünnstscheiden bewirken (1985) J. Ultrastruct. Res., 93, pp. 101-115; Luft, J.H., Improvements in epoxy resin embedding methods (1961) J. Biophys. Biochem. Cytol., 9, pp. 409-414; Maaløe, O., Birch‐Andersen, A., On the organization of the nuclear material in Salmonella typhimurium (1956) Bacterial Anatomy, 6th Symp. Soc. Gen. Microbiol, pp. 261-278. , E. T. Spooner, B. A. D. Stocker, Cambridge, University Press; Mark, H.F., Gaylord, N.G., Bikales, N.M., (1964) Encyclopedia of Polymer Science and Technology, 14. , Wiley‐Interscience Publ., New York; Meek, G.A., (1976) Electron microscope histology. In Practical Electron Microscopy for Biologists, pp. 413-472. , 2nd Ed., John Wiley and Sons, New York; Newman, S.B., Borysko, E., Swerdlow, M., Ultramicrotomy by a new method (1949) J. Res. Natl. Bureau Stand., 43, pp. 189-199; O'Brien, H.C., McKinley, G.M. New microtome for the electron microscope (1943) Science, 98, pp. 455-456; Petzold, H., Hardness measurement for determining elastic modulus (1979) Int. Polym. Sci. Technol., 7, pp. 63-67; Pixa, R., (1980), Anisotropies optiques et Mécaniques de Copolymerès Triséquencés poly(styrène‐B‐isoprène) à Texture de Cylindres de Polyisoprènes Orientés dans une Matrice en Polystyrène. Thesis (Strasbourg, France); Porter, K.R., Blum, J., A new ultramicrotome for ultrathin sectioning and one of its applications in electron microscopy (1953) Anat. Rec., 117, pp. 685-712; Reid, N., Ultramicrotomy (1976) Practical Methods in Electron Microscopy, 3 (2). , A. M. Glauert, North Holland Publishers, Amsterdam; Reimer, L., (1967) Elektronenmikroskopische Untersuchungs und Präparations Methoden, pp. 501-526. , 2nd Edition, Berlin, Springer Verlag; Rey, M.E.C., Protein A‐gold techniques (1984) J. Microsc., 136, pp. 373-381; Roberts, C.M., Tungsten coating—a method of improving glass microtome knives for cutting ultrathin sections (1975) J. Microsc., 103, pp. 113-119; Roth, J., Bendayan, M., Carlemalm, E., Villiger, W., Garavito, R.M., The enhancement of ultrastructural preservation and immunocytochemical staining in low temperature embedded pancreatic tissue (1981) J. Histochem. Cytochem., 29, pp. 663-671; Ryter, A., Kellenberger, E., L'inclusion au polyester pour l'ultramicrotomie (1958) J. Ultrastruct. Res., 2, pp. 200-214; Schmitz, J.V., (1965) Testing of Polymers, 1-3. , WileyInterscience Publ., New York; Sitte, H., Ein einfaches Ultramikrotom für hochauflösen‐de elektronenmikroskopische Untersuchungen (1955) Mikroskopie, 10, pp. 365-396; Sitte, H., (1960), pp. 63-72. , Physikalische Probleme bei der Herstellung von Dünnschnitten. In Proceedings of the 4th Int. Conf. on Electron Microscopy, (Berlin, 1958) Vol. 2. pp; Sitte, H., Process of ultrathin sectioning. In Science of biological specimen preparation for microscopy and microanalysis (1984) Proc. of the 2nd. Pfefferkorn Conference (1983‐Traverse City, Michigan), pp. 97-104. , J. P. Revel, T. Barnard, G. H. Haggis, S. A. Bhatt, Chicago, SEM Inc; Sitte, H., Neumann, K., Ultramikrotome und apparative Hilfsmittel für die Ultramikrotomie (1983) Methodensamm‐lung der Elektronenmikroskopie, , G. Schimmel, W. Vogell, Stuttgart, Wissenschaft. Verlag; Sjöstrand, F.S., Die routinemässige Herstellung von ultradünnen Gewebeschnitten (1954) Z Wiss Mikrosk, 62, pp. 65-86; Sjöstrand, F.S., The preparing of thin specimens for electron microscopy (1967) Electron Microscopy of Cells and Tissues, 1, pp. 222-310. , New York, Academic Press; Spurr, A.R., A low viscosity epoxy resin embedding medium for electron microscopy (1969) J. Ultrastruct. Res., 26, pp. 31-43; Stäubli, W., Nouvelle matière d'inclusion hydrosoluble pour la cytologie électronique (1960) Compte‐rendus Acad. Sci., 250, pp. 1137-1139; Sternstein, S.S., Mechanical properties of glassy polymers (1977) Treatise of Materials Science and Technology, 10 B, pp. 541-598. , J. M. Schultz, New York, Academic Press; Tattersall, H.G., Tappin, G., The work of fracture and its measurement in metals, ceramics and other materials (1966) J. Mater. Sci., 1, pp. 296-301; Uhlmann, D.R., Kolbeck, A.G., The microstructure of polymeric materials (1975) Scientific American, 233, pp. 96-106; Van Krevelen, D.W., (1976) Properties of Polymers, , 2nd Ed., Elsevier‐North Holland Publ., Amsterdam; Wachtel, A.W., Gettner, M.E., Ornstein, L., Microtomy (1966) Physical Techniques in Biological Research, 3 A, pp. 173-250. , A. W. Pollester, New York, Academic Press; Williams, J.G., Visco‐elastic and thermal effects on crack growth in PMMA (1972) Int. J. Fract. Mechanics, 8, pp. 393-401; Williams, R.C., Kallman, F., Interpretations of electron micrographs of single and serial sections (1955) J. Biophys. Biochem. Cytol., 1, pp. 301-314"
,,,,Section surface relief,"Carlemalm, E.",,,,,,,,
,,,,,"Kellenberger, E.",,,,,,,,
,,,,,"Villiger, W.",,,,,,,,
Developments of new Lowicryl® resins for embedding biological specimens at even lower temperatures,Two new Lowicryl resins have been developed for embedding biological materials at temperatures down to 210K (hydrophilic K11M) and to 190K (hydrophobic HM23). They have similar properties to Lowicryl K4M and HM20. The new resins were first tested for low temperature applications by the ‘progressive lowering of temperature’ procedure and this shows that the low viscosity of K11M and HM23 is favourable for the infiltration of biological specimens. Hardening is achieved through photo‐polymerization at these lower temperatures. These properties make K11M and HM23 suitable for cryosubstitution of rapidly frozen material and it is speculated that the preservation of antigenicity may be further improved. 1986 Blackwell Science Ltd,1986,1986-01-01T00:00:00Z,freeze‐substitution,"Acetarin, J. D.",00222720 (ISSN),143,81-88,10.1111/j.1365-2818.1986.tb02766.x,Journal Article,Journal of Microscopy,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84985294311&doi=10.1111%2fj.1365-2818.1986.tb02766.x&partnerID=40&md5=e9eeea617284d3e620e937c74b76b670,"Cited By :56 Export Date: 25 January 2021 Correspondence Address: Acetarin, J.‐D.; Department of Microbiology, Klingelbergstrasse 70, Basel, CH-4056, Switzerland References: Acetarin, J.‐D., Carlemalm, E., Chemical polymerization methods for methacrylates (1982) J. Microsc., 126, pp. 141-142; Acetarin, J.‐D., Carlemalm, E., The chemical polymerization of Lowicryls (1982) Lowicryl Letters, 1, pp. 9-11. , Publ. by Chemische Werke Lowi, Waldkraiburg, Germany; Armbruster, B.L., Carlemalm, E., Chiovetti, R., Garavito, R.M., Hobot, J.A., Kellenberger, E., Villiger, W., Specimen preparation for electron microscopy using low temperature embedding resins (1982) J. Microsc., 126, pp. 77-85; Armbruster, B.L., Garavito, R.M., Kellenberger, E., Dehydration and embedding temperature affect the antigenic specificity of tubulin and immunolabeling by the protein A‐colloidal gold technique (1983) J. Histochem. Cytochem., 31, pp. 1380-1384; Armbruster, B.L., Kellenberger, E., Carlemalm, E., Villiger, W., Garavito, R.M., Hobot, J.A., Chiovetti, R., Acetarin, J.‐D., Lowicryl resins: present and future applications (1984) Science of Biological Specimen Preparation for Microscopy and Microanalysis, pp. 77-81. , Proc 2nd Pfefferkorn Conf. Traverse City (Michigan 1983), ed. by, J. P. Revel, T. Barnard, G. H. Haggis, S. A. Bhatt, Scanning Electron Microscopy Inc, U.S.A; Bachhuber, K.H., Frösch, D., Melamine resins, a new class of water‐soluble embedding media for electron microscopy (1983) J. Microsc., 130, pp. 1-9; Carlemalm, E., Garavito, R.M., Villiger, W., Resin development for electron microscopy and an analysis of embedding at low temperature (1982) J. Microsc., 126, pp. 123-143; Carlemalm, E., Villiger, W., Hobot, J.A., Acetarin, J.‐D., Kellenberger, E., Low temperature embedding with Lowicryl resins: Two new formulations and some applications (1985) J. Microsc., 140, pp. 55-63; Gerrits, P.O., Smid, L., A new, less toxic polymerization system for the embedding of soft tissues in glycol methacrylate and subsequent preparing of serial sections (1983) Journal of Microscopy, 132, pp. 81-85; Hobot, J.A., Carlemalm, E., Villiger, W., Kellenberger, E., Periplasmic gel: new concept resulting from the reinvestigation of bacterial cell envelope ultrastructure by new methods (1984) J. Bact., 160, pp. 143-152; Hobot, J.A., Villiger, W., Escaig, J., Maeder, M., Ryter, A., Kellenberger, E., Shape and fine structure of nucleoids observed on sections of rapidly frozen and cryosubstituted bacteria (1985) J. Bact., 162, pp. 960-971; Humbel, B., Marti, T.H., Müller, M., Improved structural preservation by combining freeze‐substitution and low temperature embedding (1983) BEDO, 16, pp. 585-594; Humbel, B., Müller, M., (1984), pp. 1789-1798. , Freeze‐substitution and low temperature embedding. Proc. 8th Eur. Congr. Electron Microscopy, Budapest, Vol. 3, pp; Hunziker, E.B., Herrmann, W., Schenk, R.K., Müller, M., Moor, H., Cartilage ultrastructure after high pressure freezing, freeze‐substitution and low temperature embedding. I. Chondrocyte ultrastructure—implications for the theories of mineralization and vascular invasion (1984) J. Cell Biol., 98, pp. 267-276; Kellenberger, E., Carlemalm, E., Villiger, W., (1986) Physics of the preparation and observation of specimens that involve cryo‐procedures, pp. 1-20. , The Science of Biological Specimen Preparation. Proc. 4th Pfefferkorn Conf. Grand Canyon (Arizona 1985), pp., Scanning Electron Microscopy Inc, U.S.A; Millonig, G., A modified procedure for lead‐staining of thin sections (1961) J. biophys. biochem. Cytol., 11, pp. 736-739; Plattner, H., Bachmann, L., Cryofixation: a tool in biological ultrastructural research (1982) Int. Rev. Cytol., 79, pp. 239-304; Roth, J., Bendayan, M., Carlemalm, E., Villiger, W., Garavito, R.M., Enhancement of ultrastructural preservation and immunocytochemical staining in low temperature embedded pancreatic tissue (1981) J. Histochem. Cytochem., 29, pp. 663-671; Sjöstrand, F.S., The problems of preserving molecular structure of cellular components in connection with electron microscopic analysis (1976) J. Ultrastruct. Res., 55, pp. 271-280; Weibull, C., Christiansson, A., Carlemalm, E., Extraction of membrane ipids during fixation, dehydration and embedding of Acholeplasma laidlawii‐cells for electron microscopy (1983) J. Microsc., 129, pp. 201-207; Weibull, C., Villiger, W., Carlemalm, E., Extraction of lipids during freeze‐substitution of Acholeplasma laidlawii‐celte for electron microscopy (1984) Journal of Microscopy, 134, pp. 213-216; Wroblewski, R., Wroblewski, J., Freeze drying and freeze substitution combined with low‐temperature‐embedding: preparation techniques for microprobe analysis of biological soft tissues (1984) Histochem. J., 81, pp. 464-475"
,,,,HM20,"Carlemalm, E.",,,,,,,,
,,,,HM23,"Villiger, W.",,,,,,,,
,,,,K11M,,,,,,,,,
,,,,K4M,,,,,,,,,
,,,,Low temperature embedding,,,,,,,,,
